task,fusion,modalities,n_runs,test_accuracy_mean_std,test_macro_f1_mean_std,nonoverlap_macro_f1_mean_std,folder_macro_f1_mean_std,params_mean
surface,gated,tof+mag+image,3,0.8759 ± 0.0389,0.8774 ± 0.0343,0.8799 ± 0.0343,0.9780 ± 0.0198,171016.0
surface,concat,imu+tof+mag+audio,3,0.8913 ± 0.0602,0.8767 ± 0.0699,0.8770 ± 0.0701,0.9547 ± 0.0390,173637.0
surface,gated,tof+mag+audio,3,0.8801 ± 0.1125,0.8762 ± 0.1129,0.8734 ± 0.1118,0.9328 ± 0.1096,89064.0
surface,gated,imu+tof+audio+image,3,0.8865 ± 0.1435,0.8580 ± 0.1870,0.8539 ± 0.1881,0.8809 ± 0.1764,259161.0
surface,gated,imu+mag+audio+image,3,0.8648 ± 0.1690,0.8561 ± 0.1786,0.8573 ± 0.1847,0.8848 ± 0.1959,259257.0
surface,gated,imu+tof+mag+audio+image,3,0.8657 ± 0.1552,0.8498 ± 0.1747,0.8527 ± 0.1680,0.8893 ± 0.1880,277098.0
surface,gated,imu+tof+audio,3,0.8753 ± 0.1254,0.8452 ± 0.1692,0.8437 ± 0.1691,0.8985 ± 0.1519,146728.0
surface,gated,tof+audio,3,0.8625 ± 0.1032,0.8417 ± 0.1250,0.8436 ± 0.1233,0.9060 ± 0.1358,71127.0
surface,gated,imu+tof+mag+image,3,0.8448 ± 0.0899,0.8321 ± 0.0843,0.8337 ± 0.0836,0.9287 ± 0.0600,246617.0
surface,single,audio,3,0.8328 ± 0.1163,0.8091 ± 0.1372,0.8044 ± 0.1415,0.8507 ± 0.1530,38885.0
surface,gated,imu+tof+mag+audio,3,0.8192 ± 0.1720,0.7882 ± 0.2098,0.7878 ± 0.2138,0.8624 ± 0.1969,164665.0
surface,concat,imu+mag+audio,3,0.8279 ± 0.0948,0.7867 ± 0.1251,0.7857 ± 0.1250,0.8314 ± 0.1458,151237.0
surface,concat,imu+audio,3,0.8265 ± 0.0973,0.7855 ± 0.1331,0.7814 ± 0.1346,0.8434 ± 0.1408,128741.0
surface,gated,imu+mag+audio,3,0.8217 ± 0.1495,0.7846 ± 0.1880,0.7796 ± 0.1861,0.8187 ± 0.1829,146824.0
surface,gated,mag+audio,3,0.7945 ± 0.1591,0.7668 ± 0.1822,0.7672 ± 0.1812,0.8205 ± 0.2305,71223.0
surface,concat,mag+audio,3,0.7881 ± 0.1834,0.7654 ± 0.2024,0.7672 ± 0.2054,0.8007 ± 0.2860,71077.0
surface,gated,imu+audio,3,0.8078 ± 0.1445,0.7624 ± 0.1850,0.7577 ± 0.1852,0.7787 ± 0.2193,128887.0
surface,gated,imu+tof,3,0.7107 ± 0.0630,0.6773 ± 0.0540,0.6819 ± 0.0501,0.6927 ± 0.0659,116247.0
