run_dir,fold,task,fusion,modalities,seed,shuffle_train_labels,n_train_internal,n_internal_val,n_test_heldout,params,size_mb,test_accuracy,test_macro_f1,test_weighted_f1,test_n,nonoverlap_accuracy,nonoverlap_macro_f1,nonoverlap_weighted_f1,nonoverlap_n,folder_majority_accuracy,folder_majority_macro_f1,folder_majority_weighted_f1,folder_majority_n,majority_baseline_accuracy,majority_baseline_macro_f1,majority_baseline_weighted_f1,majority_baseline_n,majority_class,zero_audio_accuracy,zero_audio_macro_f1,zero_image_accuracy,zero_image_macro_f1,zero_imu_accuracy,zero_imu_macro_f1,zero_tof_accuracy,zero_tof_macro_f1,zero_mag_accuracy,zero_mag_macro_f1
experiments_lopgo/full_lopgo_search/test_p4__surface__gated__mag-audio-image__seed42,test_p4,surface,gated,mag+audio+image,42,False,8248,2051,951,183656,2.3201522827148438,0.9695057833859095,0.9672012894593094,0.9688510245414164,951,0.9756592292089249,0.9747794573582823,0.9752503321423749,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.32597266035751843,0.30811725442110205,0.2092534174553102,0.11362182319233952,,,,,0.982124079915878,0.9823207710432825
experiments_lopgo/full_lopgo_search/test_p4__surface__concat__mag-audio-image__seed42,test_p4,surface,concat,mag+audio+image,42,False,8248,2051,951,188069,2.3488845825195312,0.964248159831756,0.9629207715826263,0.9628837540846007,951,0.9634888438133874,0.9617529238332618,0.9620804139679382,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,0.27129337539432175,0.22535785833957153,,,,,0.9873817034700315,0.9881995079368014
experiments_lopgo/full_lopgo_search/test_p4__surface__gated__tof-audio-image__seed42,test_p4,surface,gated,tof+audio+image,42,False,8248,2051,951,183560,2.3181228637695312,0.9716088328075709,0.9704092846269387,0.9709390904593684,951,0.9695740365111561,0.967103547080764,0.9688181221596533,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.7455310199789695,0.7156210812028828,0.6919032597266036,0.6401679717162224,,,0.8138801261829653,0.7941707681386515,,
experiments_lopgo/full_lopgo_search/test_p4__surface__concat__tof-audio-image__seed42,test_p4,surface,concat,tof+audio+image,42,False,8248,2051,951,187973,2.3473663330078125,0.9737118822292324,0.972077300493949,0.9730127461219519,951,0.9675456389452333,0.9648707958000233,0.9664902332569938,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,0.5299684542586751,0.47247972071128147,,,0.814931650893796,0.7835345571426875,,
experiments_lopgo/full_lopgo_search/test_p4__surface__gated__tof-mag-image__seed42,test_p4,surface,gated,tof+mag+image,42,False,8248,2051,951,171016,2.1673660278320312,0.8727655099894848,0.8642747245606334,0.8664209177788694,951,0.8742393509127789,0.8661177474249303,0.867865230092882,493,0.9722222222222222,0.9722943722943723,0.9716209716209716,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,,,0.48370136698212407,0.416435185291422,,,0.7245005257623555,0.6410196215433767,0.8853838065194533,0.8835413393738027
experiments_lopgo/full_lopgo_search/test_p4__surface__concat__tof-mag-image__seed42,test_p4,surface,concat,tof+mag+image,42,False,8248,2051,951,175429,2.1948394775390625,0.9148264984227129,0.9087279886825318,0.9123821345444383,951,0.9087221095334685,0.9029745308642173,0.9057898123476338,493,0.9722222222222222,0.9692307692307693,0.9722222222222222,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,,,0.36803364879074657,0.21825260506126187,,,0.6750788643533123,0.5556078928243051,0.9400630914826499,0.9396574740823196
experiments_lopgo/full_lopgo_search/test_p4__surface__gated__tof-mag-audio__seed42,test_p4,surface,gated,tof+mag+audio,42,False,8248,2051,951,89064,1.2145538330078125,0.9558359621451105,0.9518892512780445,0.9556875481774585,951,0.9533468559837728,0.9495752187112801,0.9531703641182939,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.31650893796004204,0.2769427199103016,,,,,0.8412197686645636,0.8200306594640006,0.9411146161934806,0.9354639066941761
experiments_lopgo/full_lopgo_search/test_p4__surface__concat__tof-mag-audio__seed42,test_p4,surface,concat,tof+mag+audio,42,False,8248,2051,951,93477,1.2453765869140625,0.9558359621451105,0.9526529197154774,0.9554916539363257,951,0.9513184584178499,0.9472095845565814,0.9509164760150834,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,,,,,0.6456361724500526,0.5501832877195041,0.9568874868559412,0.9539503815094849
experiments_lopgo/full_lopgo_search/test_p4__surface__gated__imu-audio-image__seed42,test_p4,surface,gated,imu+audio+image,42,False,8248,2051,951,241320,2.996490478515625,0.9768664563617245,0.9768370245539696,0.9763810651795508,951,0.9756592292089249,0.9760204305139822,0.9751823570306054,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.15667718191377497,0.054181818181818185,0.4363827549947424,0.3817110916495642,0.9400630914826499,0.9329796058483018,,,,
experiments_lopgo/full_lopgo_search/test_p4__surface__concat__imu-audio-image__seed42,test_p4,surface,concat,imu+audio+image,42,False,8248,2051,951,245733,3.0245132446289062,0.9695057833859095,0.9689126668651575,0.9685010209860869,951,0.9716024340770791,0.9704783863109284,0.9707108274428179,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,0.3007360672975815,0.24035432102967932,0.9842271293375394,0.9847026551175186,,,,
