task,fusion,modalities,folds,n_runs,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_nonoverlap_macro_f1,mean_folder_macro_f1,mean_majority_baseline_macro_f1,mean_params,mean_size_mb
activity,gated,imu+tof,"test_p1p2,test_p3,test_p4",3,0.9400976257912261,0.09479942527765581,0.9403353390121886,0.09424524766789087,0.940576330226922,0.9460428006439491,0.1753190220111451,115989.0,1.4878311157226562
activity,concat,imu+tof+image,"test_p1p2,test_p3,test_p4",3,0.9376495727578967,0.09682066943732266,0.9381992825073472,0.09561543500666443,0.9381981570753631,0.9444571677512014,0.1753190220111451,232835.0,2.8686447143554688
activity,gated,mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9386956801046201,0.06281885721786006,0.9366892639883604,0.06641275163848787,0.9366398343672021,0.9470658181699606,0.1753190220111451,183398.0,2.318115234375
activity,gated,tof+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9379925466963906,0.04950353914884869,0.9363935497538435,0.05070645108787794,0.9376622221843313,0.9467853305818253,0.1753190220111451,201239.0,2.5634231567382812
activity,gated,imu+image,"test_p1p2,test_p3,test_p4",3,0.934172222193395,0.08480370425736823,0.9341322415427101,0.08481397048104523,0.934055917756227,0.9433519995551826,0.1753190220111451,210581.0,2.59124755859375
activity,gated,imu+mag+image,"test_p1p2,test_p3,test_p4",3,0.9309554013028848,0.07736948183137764,0.9312598684173206,0.07753131195522962,0.9311276643522555,0.9362814883979279,0.1753190220111451,228518.0,2.8403854370117188
activity,gated,imu+tof+mag,"test_p1p2,test_p3,test_p4",3,0.9295234677592831,0.07570413833046365,0.9291267697014866,0.07571877853548303,0.9292141822403449,0.9401616812055663,0.1753190220111451,133926.0,1.7341995239257812
activity,gated,imu+tof+mag+audio,"test_p1p2,test_p3,test_p4",3,0.926005032377828,0.08996029151007176,0.9266071024196703,0.08935518142349504,0.926445362746867,0.9294668416497641,0.1753190220111451,164407.0,2.1371307373046875
activity,concat,tof+mag+audio+image,"test_p1p2,test_p3,test_p4",3,0.9237804567878637,0.0236306198985411,0.9216370566954453,0.02307475940986702,0.9229500166439668,0.9319392897552676,0.1753190220111451,210211.0,2.6432113647460938
activity,concat,imu+mag,"test_p1p2,test_p3,test_p4",3,0.9152864263081488,0.07775175440080392,0.9154702622716409,0.0779412819011699,0.9150870163580275,0.9218975161247039,0.1753190220111451,115939.0,1.467926025390625
activity,concat,tof+mag+audio,"test_p1p2,test_p3,test_p4",3,0.8882686380246597,0.0968348725039775,0.8866493616145178,0.09643901311984278,0.886928489463422,0.9025787705928318,0.1753190220111451,93219.0,1.2400894165039062
activity,single,imu,"test_p1p2,test_p3,test_p4",3,0.8841106792194124,0.1007442733942994,0.87706368800277,0.10841600782790761,0.8766423870152179,0.8823366176789204,0.1753190220111451,83747.0,1.0403518676757812
activity,concat,tof+audio+image,"test_p1p2,test_p3,test_p4",3,0.8656583694058632,0.050380678530220005,0.8598662940723519,0.05611104830758337,0.858505087373984,0.87772938063691,0.1753190220111451,187715.0,2.3449020385742188
activity,gated,tof+mag+audio,"test_p1p2,test_p3,test_p4",3,0.8658129901589354,0.14614833740164843,0.8590873516724896,0.15413817520701442,0.8594406701229304,0.874595916721245,0.1753190220111451,88806.0,1.212005615234375
activity,gated,mag+audio,"test_p1p2,test_p3,test_p4",3,0.8525840626374546,0.08685482534533791,0.8512940977968753,0.0845179541185382,0.8508079127468405,0.858401147805886,0.1753190220111451,70965.0,0.9655532836914062
activity,concat,audio+image,"test_p1p2,test_p3,test_p4",3,0.8592641892554861,0.06915364749980969,0.8503099907097305,0.07728763635081483,0.8511247943394373,0.8599241482802805,0.1753190220111451,165315.0,2.0457534790039062
activity,concat,tof+mag+image,"test_p1p2,test_p3,test_p4",3,0.8534568862997626,0.062008700758049776,0.8443358104817297,0.07021445166746787,0.8462599129344466,0.867494953654214,0.1753190220111451,175171.0,2.1934967041015625
